# filename	lang	rate	text
lesson-01-chinese.m4a	zh	165	第一课发生在早晨。我们要学会向家人说早安，问对方睡得怎么样，还要说自己已经准备好起床了。
lesson-01-tips-cn.m4a	zh	155	Good 里的元音要短，嘴唇稍微收圆。Morning 的重音在第一个音节。两个词要自然连起来。
lesson-01-tips-en.m4a	en	125	good. morning. Good morning. Did you sleep well? Yes, I did. I'm ready.
lesson-01-slow.m4a	en	105	Good morning, Mia. Good morning, Mom. Did you sleep well? Yes, I did. Time to get up. Okay. I'm ready!
lesson-01-normal.m4a	en	175	Good morning, Mia. Good morning, Mom. Did you sleep well? Yes, I did. Time to get up. Okay. I'm ready!
lesson-01-fast.m4a	en	230	Good morning, Mia. Good morning, Mom. Did you sleep well? Yes, I did. Time to get up. Okay. I'm ready!
lesson-02-chinese.m4a	zh	165	第二课发生在早餐桌。我们练习用 Can I have 来提出请求，用 Here you are 来递东西，最后别忘了说谢谢。
lesson-02-tips-cn.m4a	zh	155	Can I 连起来时，can 要读轻一点。Please 中间的长音稍微拉长。Thank 开头，舌尖轻轻放在牙齿之间送气。
lesson-02-tips-en.m4a	en	125	Can I? please. thank you. Can I have some milk, please? Here you are. Thank you.
lesson-02-slow.m4a	en	105	Can I have some milk, please? Sure. Here you are. Thank you, Dad. You're welcome. Do you want some bread? Yes, please.
lesson-02-normal.m4a	en	175	Can I have some milk, please? Sure. Here you are. Thank you, Dad. You're welcome. Do you want some bread? Yes, please.
lesson-02-fast.m4a	en	230	Can I have some milk, please? Sure. Here you are. Thank you, Dad. You're welcome. Do you want some bread? Yes, please.
lesson-03-chinese.m4a	zh	165	第三课是下雨天出门。我们要说今天的天气，还要学会提醒别人穿雨衣、带雨伞。
lesson-03-tips-cn.m4a	zh	155	It's 是 It is 的缩写，结尾要听见轻轻的 ts。Raining 分成 rain 和 ing。Put on 连起来，中间不要停。
lesson-03-tips-en.m4a	en	125	It's. raining. It's raining. put on. Put on your raincoat. Where are my boots?
lesson-03-slow.m4a	en	105	It's raining today. I see the rain. Put on your raincoat. Where are my boots? They're by the door. Got them. Let's go!
lesson-03-normal.m4a	en	175	It's raining today. I see the rain. Put on your raincoat. Where are my boots? They're by the door. Got them. Let's go!
lesson-03-fast.m4a	en	230	It's raining today. I see the rain. Put on your raincoat. Where are my boots? They're by the door. Got them. Let's go!
lesson-04-chinese.m4a	zh	165	第四课是在家准备晚餐。我们练习主动问 Can I help，再听懂摆盘子、拿杯子这样的简单任务。
lesson-04-tips-cn.m4a	zh	155	Help 的最后让双唇合起来，发出轻轻的 p。The 的开头，舌尖轻轻放在牙齿之间。I can do it 里 do 更有力。
lesson-04-tips-en.m4a	en	125	help. the table. I can do it. Can I help? Set the table, please.
lesson-04-slow.m4a	en	105	Can I help? Yes, please. Set the table, please. Okay. I can do it. Please bring two cups. Here they are!
lesson-04-normal.m4a	en	175	Can I help? Yes, please. Set the table, please. Okay. I can do it. Please bring two cups. Here they are!
lesson-04-fast.m4a	en	230	Can I help? Yes, please. Set the table, please. Okay. I can do it. Please bring two cups. Here they are!
lesson-05-chinese.m4a	zh	165	第五课要在客厅找玩具。我们练习 Where is my，和用 on、in、under 说清楚位置。
